date,fixed,generation,t,price
2016-03-05,0.014000000000010004,0.0,5,19.01
2016-03-05,0.04800000000000182,0.060000000000172804,6,19.16
2016-03-05,0.023000000000024556,0.1799999999998363,7,20.75
2016-03-05,0.03999999999996362,0.21400000000016917,8,24.55
2016-03-05,0.02400000000000091,0.2749999999998636,9,26.9
2016-03-05,0.031000000000062755,0.5309999999999491,10,24.78
2016-03-05,0.036999999999920874,0.4650000000001455,11,24.63
2016-03-05,0.02500000000009095,0.6549999999999727,12,24.25
2016-03-05,0.05099999999993088,0.5950000000000273,13,21.14
2016-03-05,0.014000000000010004,0.625,14,20.42
2016-03-05,0.038000000000010914,0.2849999999998545,15,20.57
2016-03-05,0.03099999999994907,0.06400000000007822,16,21.25
2016-03-05,0.026000000000067303,0.0,17,25.92
2016-03-05,0.12599999999997635,0.0,18,34.02
2016-03-05,0.7369999999999663,0.0,19,35.0
2016-03-05,0.04800000000000182,0.0,20,27.86
2016-03-05,0.016000000000076398,0.0,21,24.44
2016-03-05,0.04399999999998272,0.0,22,25.18
2016-03-05,0.02800000000002001,0.0,23,20.0
2016-03-06,0.013999999999896318,0.0,0,20.69
2016-03-06,0.048000000000115506,0.0,1,19.94
2016-03-06,0.014999999999986358,0.0,2,19.13
2016-03-06,0.056999999999902684,0.0,3,18.69
2016-03-06,0.013000000000033651,0.0,4,18.58
2016-03-06,0.024000000000114596,0.0,5,18.83
2016-03-06,0.038000000000010914,0.03099999999994907,6,18.65
2016-03-06,1.45699999999988,0.3550000000000182,7,18.78
2016-03-06,1.3180000000000973,1.4500000000000455,8,19.28
2016-03-06,0.011999999999943611,2.5450000000000728,9,19.99
2016-03-06,1.0079999999999245,2.2439999999999145,10,20.26
2016-03-06,0.8120000000000118,1.79099999999994,11,20.51
2016-03-06,0.023000000000024556,3.380000000000109,12,20.02
2016-03-06,0.05200000000002092,3.578999999999951,13,19.14
2016-03-06,0.6520000000000437,2.1210000000000946,14,18.24
2016-03-06,2.2259999999998854,3.1849999999999454,15,18.23
2016-03-06,1.844000000000051,0.375,16,18.73
2016-03-06,0.26300000000003365,0.023999999999887223,17,20.57
2016-03-06,0.033999999999991815,0.0,18,28.93
2016-03-06,0.020999999999958163,0.0,19,31.62
2016-03-06,0.04399999999998272,0.0,20,29.17
2016-03-06,0.023000000000024556,0.0,21,25.44
2016-03-06,0.049999999999954525,0.0,22,27.44
2016-03-06,0.014000000000010004,0.0,23,21.15
2016-03-07,0.04399999999998272,0.0,0,22.04
2016-03-07,0.023000000000024556,0.0,1,22.05
2016-03-07,0.027000000000043656,0.0,2,20.34
2016-03-07,0.04200000000003001,0.0,3,20.02
2016-03-07,0.013000000000033651,0.0,4,20.09
